queue_id,hospital_name,city,location_id,doctor_id,doctor_name,current_serving_token,patient_token,avg_minutes_per_patient,estimated_wait_minutes,last_updated
QUE0001,"Max Super Speciality Hospital, Saket",delhi,LOC0001,DOC0001,Dr. Aarav Kapoor,12,60,7,336,2026-04-01T10:00
QUE0002,"Max Super Speciality Hospital, Patparganj",noida,LOC0002,DOC0002,Dr. Vivaan Singh,41,59,8,144,2026-04-01T10:00
QUE0003,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0003,DOC0003,Dr. Aditya Agarwal,8,52,5,220,2026-04-01T10:00
QUE0004,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0004,DOC0004,Dr. Arjun Mehta,6,46,7,280,2026-04-01T10:00
QUE0005,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0005,DOC0005,Dr. Krishna Reddy,15,45,5,150,2026-04-01T10:00
QUE0006,"Max Hospital, Noida",pune,LOC0006,DOC0006,Dr. Ishaan Das,63,72,8,72,2026-04-01T10:00
QUE0007,"Max Hospital, Lucknow",Mumbai,LOC0007,DOC0007,Dr. Rohan Verma,70,86,10,160,2026-04-01T10:00
QUE0008,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0008,DOC0008,Dr. Kunal Malhotra,17,52,10,350,2026-04-01T10:00
QUE0009,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0009,DOC0009,Dr. Rahul Khanna,79,108,10,290,2026-04-01T10:00
QUE0010,"Max Healthcare Partner Centre, Banguluru",noida,LOC0010,DOC0010,Dr. Vikram Yadav,79,114,10,350,2026-04-01T10:00
QUE0011,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0011,DOC0011,Dr. Ananya Nair,72,121,7,343,2026-04-01T10:00
QUE0012,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0012,DOC0012,Dr. Diya Rao,17,18,6,6,2026-04-01T10:00
QUE0013,"Max Super Speciality Hospital, Vaishali",lucknow,LOC0013,DOC0013,Dr. Aisha Saxena,55,65,10,100,2026-04-01T10:00
QUE0014,"Max Super Speciality Hospital, Shalimar Bagh",pune,LOC0014,DOC0014,Dr. Kavya Gupta,38,65,7,189,2026-04-01T10:00
QUE0015,"Max Super Speciality Hospital, Gurgaon",Mumbai,LOC0015,DOC0015,Dr. Sneha Bhatia,48,82,8,272,2026-04-01T10:00
QUE0016,"Max Hospital, Noida",Banguluru,LOC0016,DOC0016,Dr. Meera Chopra,53,55,6,12,2026-04-01T10:00
QUE0017,"Max Hospital, Lucknow",delhi,LOC0017,DOC0017,Dr. Priya Mishra,47,59,7,84,2026-04-01T10:00
QUE0018,"Max Healthcare Partner Centre, Pune",noida,LOC0018,DOC0018,Dr. Nisha Iyer,69,114,8,360,2026-04-01T10:00
QUE0019,"Max Healthcare Partner Centre, Mumbai",ghaziabad,LOC0019,DOC0019,Dr. Ritika Pillai,34,39,7,35,2026-04-01T10:00
QUE0020,"Max Healthcare Partner Centre, Banguluru",gurugram,LOC0020,DOC0020,Dr. Pooja Sharma,28,42,5,70,2026-04-01T10:00
QUE0021,"Max Super Speciality Hospital, Saket",lucknow,LOC0021,DOC0021,Dr. Sanjay Kapoor,22,54,7,224,2026-04-01T10:00
QUE0022,"Max Super Speciality Hospital, Patparganj",pune,LOC0022,DOC0022,Dr. Rajiv Singh,49,49,7,0,2026-04-01T10:00
QUE0023,"Max Super Speciality Hospital, Vaishali",Mumbai,LOC0023,DOC0023,Dr. Manoj Agarwal,20,53,6,198,2026-04-01T10:00
QUE0024,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,LOC0024,DOC0024,Dr. Amit Mehta,58,61,6,18,2026-04-01T10:00
QUE0025,"Max Super Speciality Hospital, Gurgaon",delhi,LOC0025,DOC0025,Dr. Suresh Reddy,7,32,8,200,2026-04-01T10:00
QUE0026,"Max Hospital, Noida",noida,LOC0026,DOC0026,Dr. Neha Das,33,58,6,150,2026-04-01T10:00
QUE0027,"Max Hospital, Lucknow",ghaziabad,LOC0027,DOC0027,Dr. Swati Verma,34,49,7,105,2026-04-01T10:00
QUE0028,"Max Healthcare Partner Centre, Pune",gurugram,LOC0028,DOC0028,Dr. Shreya Malhotra,70,96,7,182,2026-04-01T10:00
QUE0029,"Max Healthcare Partner Centre, Mumbai",lucknow,LOC0029,DOC0029,Dr. Aarav Khanna,7,11,8,32,2026-04-01T10:00
QUE0030,"Max Healthcare Partner Centre, Banguluru",pune,LOC0030,DOC0030,Dr. Vivaan Yadav,32,70,10,380,2026-04-01T10:00
QUE0031,"Max Super Speciality Hospital, Saket",Mumbai,LOC0031,DOC0031,Dr. Aditya Nair,59,62,5,15,2026-04-01T10:00
QUE0032,"Max Super Speciality Hospital, Patparganj",Banguluru,LOC0032,DOC0032,Dr. Arjun Rao,62,78,7,112,2026-04-01T10:00
QUE0033,"Max Super Speciality Hospital, Vaishali",delhi,LOC0033,DOC0033,Dr. Krishna Saxena,55,95,5,200,2026-04-01T10:00
QUE0034,"Max Super Speciality Hospital, Shalimar Bagh",noida,LOC0034,DOC0034,Dr. Ishaan Gupta,63,86,6,138,2026-04-01T10:00
QUE0035,"Max Super Speciality Hospital, Gurgaon",ghaziabad,LOC0035,DOC0035,Dr. Rohan Bhatia,78,112,10,340,2026-04-01T10:00
QUE0036,"Max Hospital, Noida",gurugram,LOC0036,DOC0036,Dr. Kunal Chopra,80,115,8,280,2026-04-01T10:00
QUE0037,"Max Hospital, Lucknow",lucknow,LOC0037,DOC0037,Dr. Rahul Mishra,70,100,10,300,2026-04-01T10:00
QUE0038,"Max Healthcare Partner Centre, Pune",pune,LOC0038,DOC0038,Dr. Vikram Iyer,20,47,6,162,2026-04-01T10:00
QUE0039,"Max Healthcare Partner Centre, Mumbai",Mumbai,LOC0039,DOC0039,Dr. Ananya Pillai,28,37,5,45,2026-04-01T10:00
QUE0040,"Max Healthcare Partner Centre, Banguluru",Banguluru,LOC0040,DOC0040,Dr. Diya Sharma,43,80,5,185,2026-04-01T10:00
QUE0041,"Max Super Speciality Hospital, Saket",delhi,LOC0041,DOC0041,Dr. Aisha Kapoor,20,27,8,56,2026-04-01T10:00
QUE0042,"Max Super Speciality Hospital, Patparganj",noida,LOC0042,DOC0042,Dr. Kavya Singh,45,67,5,110,2026-04-01T10:00
QUE0043,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0043,DOC0043,Dr. Sneha Agarwal,5,21,10,160,2026-04-01T10:00
QUE0044,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0044,DOC0044,Dr. Meera Mehta,76,107,5,155,2026-04-01T10:00
QUE0045,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0045,DOC0045,Dr. Priya Reddy,1,13,7,84,2026-04-01T10:00
QUE0046,"Max Hospital, Noida",pune,LOC0046,DOC0046,Dr. Nisha Das,70,88,7,126,2026-04-01T10:00
QUE0047,"Max Hospital, Lucknow",Mumbai,LOC0047,DOC0047,Dr. Ritika Verma,25,32,5,35,2026-04-01T10:00
QUE0048,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0048,DOC0048,Dr. Pooja Malhotra,14,52,10,380,2026-04-01T10:00
QUE0049,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0049,DOC0049,Dr. Sanjay Khanna,41,49,8,64,2026-04-01T10:00
QUE0050,"Max Healthcare Partner Centre, Banguluru",noida,LOC0050,DOC0050,Dr. Rajiv Yadav,6,10,8,32,2026-04-01T10:00
QUE0051,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0051,DOC0051,Dr. Manoj Nair,7,57,5,250,2026-04-01T10:00
QUE0052,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0052,DOC0052,Dr. Amit Rao,61,107,8,368,2026-04-01T10:00
