doctor_id,doctor_name,department_id,department_name,hospital_name,city,location_id,qualification,experience_years,consultation_mode
DOC0001,Dr. Aarav Kapoor,DEP0001,Neurology,"Max Super Speciality Hospital, Saket",delhi,LOC0001,MD,19,in_person
DOC0002,Dr. Vivaan Singh,DEP0002,Neurosurgery,"Max Super Speciality Hospital, Patparganj",noida,LOC0002,MD,25,teleconsult
DOC0003,Dr. Aditya Agarwal,DEP0003,Urology,"Max Super Speciality Hospital, Vaishali",ghaziabad,LOC0003,MCh,25,in_person
DOC0004,Dr. Arjun Mehta,DEP0004,Nephrology,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,LOC0004,MCh,10,teleconsult
DOC0005,Dr. Krishna Reddy,DEP0005,Gastroenterology,"Max Super Speciality Hospital, Gurgaon",lucknow,LOC0005,DNB,10,teleconsult
DOC0006,Dr. Ishaan Das,DEP0006,GI Surgery,"Max Hospital, Noida",pune,LOC0006,DM,26,in_person
DOC0007,Dr. Rohan Verma,DEP0007,Cardiology,"Max Hospital, Lucknow",Mumbai,LOC0007,DM,14,in_person
DOC0008,Dr. Kunal Malhotra,DEP0008,Cardiothoracic Surgery,"Max Healthcare Partner Centre, Pune",Banguluru,LOC0008,DM,29,teleconsult
DOC0009,Dr. Rahul Khanna,DEP0009,Orthopaedics,"Max Healthcare Partner Centre, Mumbai",delhi,LOC0009,MCh,21,in_person
DOC0010,Dr. Vikram Yadav,DEP0010,Oncology,"Max Healthcare Partner Centre, Banguluru",noida,LOC0010,MS,28,teleconsult
DOC0011,Dr. Ananya Nair,DEP0011,Dental Sciences,"Max Super Speciality Hospital, Saket",ghaziabad,LOC0011,DM,12,teleconsult
DOC0012,Dr. Diya Rao,DEP0012,ENT,"Max Super Speciality Hospital, Patparganj",gurugram,LOC0012,MCh,17,in_person
DOC0013,Dr. Aisha Saxena,DEP0013,Pulmonology,"Max Super Speciality Hospital, Vaishali",lucknow,LOC0013,MCh,16,teleconsult
DOC0014,Dr. Kavya Gupta,DEP0014,Dermatology,"Max Super Speciality Hospital, Shalimar Bagh",pune,LOC0014,DNB,31,in_person
DOC0015,Dr. Sneha Bhatia,DEP0015,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Gurgaon",Mumbai,LOC0015,MS,32,in_person
DOC0016,Dr. Meera Chopra,DEP0016,Pediatrics,"Max Hospital, Noida",Banguluru,LOC0016,DM,20,teleconsult
DOC0017,Dr. Priya Mishra,DEP0017,Endocrinology,"Max Hospital, Lucknow",delhi,LOC0017,DNB,8,teleconsult
DOC0018,Dr. Nisha Iyer,DEP0018,Internal Medicine,"Max Healthcare Partner Centre, Pune",noida,LOC0018,MCh,17,in_person
DOC0019,Dr. Ritika Pillai,DEP0019,Neurology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,LOC0019,MS,13,in_person
DOC0020,Dr. Pooja Sharma,DEP0020,Neurosurgery,"Max Healthcare Partner Centre, Banguluru",gurugram,LOC0020,MD,30,teleconsult
DOC0021,Dr. Sanjay Kapoor,DEP0021,Urology,"Max Super Speciality Hospital, Saket",lucknow,LOC0021,MD,20,in_person
DOC0022,Dr. Rajiv Singh,DEP0022,Nephrology,"Max Super Speciality Hospital, Patparganj",pune,LOC0022,MS,6,in_person
DOC0023,Dr. Manoj Agarwal,DEP0023,Gastroenterology,"Max Super Speciality Hospital, Vaishali",Mumbai,LOC0023,DM,23,in_person
DOC0024,Dr. Amit Mehta,DEP0024,GI Surgery,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,LOC0024,DNB,5,in_person
DOC0025,Dr. Suresh Reddy,DEP0025,Cardiology,"Max Super Speciality Hospital, Gurgaon",delhi,LOC0025,DNB,9,teleconsult
DOC0026,Dr. Neha Das,DEP0026,Cardiothoracic Surgery,"Max Hospital, Noida",noida,LOC0026,MCh,5,in_person
DOC0027,Dr. Swati Verma,DEP0027,Orthopaedics,"Max Hospital, Lucknow",ghaziabad,LOC0027,MD,5,teleconsult
DOC0028,Dr. Shreya Malhotra,DEP0028,Oncology,"Max Healthcare Partner Centre, Pune",gurugram,LOC0028,DM,21,teleconsult
DOC0029,Dr. Aarav Khanna,DEP0029,Dental Sciences,"Max Healthcare Partner Centre, Mumbai",lucknow,LOC0029,DNB,17,teleconsult
DOC0030,Dr. Vivaan Yadav,DEP0030,ENT,"Max Healthcare Partner Centre, Banguluru",pune,LOC0030,MCh,11,teleconsult
DOC0031,Dr. Aditya Nair,DEP0031,Pulmonology,"Max Super Speciality Hospital, Saket",Mumbai,LOC0031,MCh,10,teleconsult
DOC0032,Dr. Arjun Rao,DEP0032,Dermatology,"Max Super Speciality Hospital, Patparganj",Banguluru,LOC0032,DM,12,in_person
DOC0033,Dr. Krishna Saxena,DEP0033,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Vaishali",delhi,LOC0033,MCh,27,teleconsult
