mapping_id,symptom_text,department_name,hospital_name,city,priority,confidence,reviewed_by
MAP0001,severe headache,Neurology,"Max Super Speciality Hospital, Saket",delhi,low,0.92,ops_admin
MAP0002,dizziness,Neurosurgery,"Max Super Speciality Hospital, Patparganj",noida,high,0.85,triage_nurse
MAP0003,seizure episodes,Urology,"Max Super Speciality Hospital, Vaishali",ghaziabad,medium,0.93,triage_nurse
MAP0004,urinary burning,Nephrology,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,medium,0.86,ops_admin
MAP0005,kidney stone pain,Gastroenterology,"Max Super Speciality Hospital, Gurgaon",lucknow,low,0.78,ops_admin
MAP0006,abdominal pain,GI Surgery,"Max Hospital, Noida",pune,high,0.80,clinical_lead
MAP0007,acid reflux,Cardiology,"Max Hospital, Lucknow",Mumbai,high,0.78,ops_admin
MAP0008,toothache,Cardiothoracic Surgery,"Max Healthcare Partner Centre, Pune",Banguluru,low,0.85,ops_admin
MAP0009,gum swelling,Orthopaedics,"Max Healthcare Partner Centre, Mumbai",delhi,low,0.91,triage_nurse
MAP0010,chest discomfort,Oncology,"Max Healthcare Partner Centre, Banguluru",noida,low,0.88,triage_nurse
MAP0011,shortness of breath,Dental Sciences,"Max Super Speciality Hospital, Saket",ghaziabad,high,0.94,ops_admin
MAP0012,joint pain,ENT,"Max Super Speciality Hospital, Patparganj",gurugram,medium,0.86,clinical_lead
MAP0013,skin rash,Pulmonology,"Max Super Speciality Hospital, Vaishali",lucknow,high,0.94,clinical_lead
MAP0014,ear pain,Dermatology,"Max Super Speciality Hospital, Shalimar Bagh",pune,low,0.85,triage_nurse
MAP0015,severe headache,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Gurgaon",Mumbai,low,0.90,clinical_lead
MAP0016,dizziness,Pediatrics,"Max Hospital, Noida",Banguluru,low,0.89,triage_nurse
MAP0017,seizure episodes,Endocrinology,"Max Hospital, Lucknow",delhi,medium,0.73,ops_admin
MAP0018,urinary burning,Internal Medicine,"Max Healthcare Partner Centre, Pune",noida,low,0.92,clinical_lead
MAP0019,kidney stone pain,Neurology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,high,0.94,clinical_lead
MAP0020,abdominal pain,Neurosurgery,"Max Healthcare Partner Centre, Banguluru",gurugram,medium,0.97,clinical_lead
MAP0021,acid reflux,Urology,"Max Super Speciality Hospital, Saket",lucknow,high,0.94,triage_nurse
MAP0022,toothache,Nephrology,"Max Super Speciality Hospital, Patparganj",pune,high,0.78,ops_admin
MAP0023,gum swelling,Gastroenterology,"Max Super Speciality Hospital, Vaishali",Mumbai,low,0.76,ops_admin
MAP0024,chest discomfort,GI Surgery,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,high,0.96,ops_admin
MAP0025,shortness of breath,Cardiology,"Max Super Speciality Hospital, Gurgaon",delhi,medium,0.92,clinical_lead
MAP0026,joint pain,Cardiothoracic Surgery,"Max Hospital, Noida",noida,low,0.93,clinical_lead
MAP0027,skin rash,Orthopaedics,"Max Hospital, Lucknow",ghaziabad,low,0.84,triage_nurse
MAP0028,ear pain,Oncology,"Max Healthcare Partner Centre, Pune",gurugram,medium,0.80,ops_admin
MAP0029,severe headache,Dental Sciences,"Max Healthcare Partner Centre, Mumbai",lucknow,high,0.78,ops_admin
MAP0030,dizziness,ENT,"Max Healthcare Partner Centre, Banguluru",pune,medium,0.77,triage_nurse
MAP0031,seizure episodes,Pulmonology,"Max Super Speciality Hospital, Saket",Mumbai,low,0.91,ops_admin
MAP0032,urinary burning,Dermatology,"Max Super Speciality Hospital, Patparganj",Banguluru,low,0.85,ops_admin
MAP0033,kidney stone pain,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Vaishali",delhi,medium,0.87,clinical_lead
MAP0034,abdominal pain,Pediatrics,"Max Super Speciality Hospital, Shalimar Bagh",noida,low,0.93,clinical_lead
MAP0035,acid reflux,Endocrinology,"Max Super Speciality Hospital, Gurgaon",ghaziabad,medium,0.98,ops_admin
MAP0036,toothache,Internal Medicine,"Max Hospital, Noida",gurugram,low,0.72,ops_admin
MAP0037,gum swelling,Neurology,"Max Hospital, Lucknow",lucknow,medium,0.71,triage_nurse
MAP0038,chest discomfort,Neurosurgery,"Max Healthcare Partner Centre, Pune",pune,high,0.82,ops_admin
MAP0039,shortness of breath,Urology,"Max Healthcare Partner Centre, Mumbai",Mumbai,high,0.78,ops_admin
MAP0040,joint pain,Nephrology,"Max Healthcare Partner Centre, Banguluru",Banguluru,low,0.89,ops_admin
