department_id,department_name,hospital_name,city,department_code,is_active
DEP0001,Neurology,"Max Super Speciality Hospital, Saket",delhi,DPT-0001,true
DEP0002,Neurosurgery,"Max Super Speciality Hospital, Patparganj",noida,DPT-0002,true
DEP0003,Urology,"Max Super Speciality Hospital, Vaishali",ghaziabad,DPT-0003,true
DEP0004,Nephrology,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,DPT-0004,true
DEP0005,Gastroenterology,"Max Super Speciality Hospital, Gurgaon",lucknow,DPT-0005,true
DEP0006,GI Surgery,"Max Hospital, Noida",pune,DPT-0006,true
DEP0007,Cardiology,"Max Hospital, Lucknow",Mumbai,DPT-0007,true
DEP0008,Cardiothoracic Surgery,"Max Healthcare Partner Centre, Pune",Banguluru,DPT-0008,true
DEP0009,Orthopaedics,"Max Healthcare Partner Centre, Mumbai",delhi,DPT-0009,true
DEP0010,Oncology,"Max Healthcare Partner Centre, Banguluru",noida,DPT-0010,true
DEP0011,Dental Sciences,"Max Super Speciality Hospital, Saket",ghaziabad,DPT-0011,true
DEP0012,ENT,"Max Super Speciality Hospital, Patparganj",gurugram,DPT-0012,true
DEP0013,Pulmonology,"Max Super Speciality Hospital, Vaishali",lucknow,DPT-0013,true
DEP0014,Dermatology,"Max Super Speciality Hospital, Shalimar Bagh",pune,DPT-0014,true
DEP0015,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Gurgaon",Mumbai,DPT-0015,true
DEP0016,Pediatrics,"Max Hospital, Noida",Banguluru,DPT-0016,true
DEP0017,Endocrinology,"Max Hospital, Lucknow",delhi,DPT-0017,true
DEP0018,Internal Medicine,"Max Healthcare Partner Centre, Pune",noida,DPT-0018,true
DEP0019,Neurology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,DPT-0019,true
DEP0020,Neurosurgery,"Max Healthcare Partner Centre, Banguluru",gurugram,DPT-0020,true
DEP0021,Urology,"Max Super Speciality Hospital, Saket",lucknow,DPT-0021,true
DEP0022,Nephrology,"Max Super Speciality Hospital, Patparganj",pune,DPT-0022,true
DEP0023,Gastroenterology,"Max Super Speciality Hospital, Vaishali",Mumbai,DPT-0023,true
DEP0024,GI Surgery,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,DPT-0024,true
DEP0025,Cardiology,"Max Super Speciality Hospital, Gurgaon",delhi,DPT-0025,true
DEP0026,Cardiothoracic Surgery,"Max Hospital, Noida",noida,DPT-0026,true
DEP0027,Orthopaedics,"Max Hospital, Lucknow",ghaziabad,DPT-0027,true
DEP0028,Oncology,"Max Healthcare Partner Centre, Pune",gurugram,DPT-0028,true
DEP0029,Dental Sciences,"Max Healthcare Partner Centre, Mumbai",lucknow,DPT-0029,true
DEP0030,ENT,"Max Healthcare Partner Centre, Banguluru",pune,DPT-0030,true
DEP0031,Pulmonology,"Max Super Speciality Hospital, Saket",Mumbai,DPT-0031,true
DEP0032,Dermatology,"Max Super Speciality Hospital, Patparganj",Banguluru,DPT-0032,true
DEP0033,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Vaishali",delhi,DPT-0033,true
DEP0034,Pediatrics,"Max Super Speciality Hospital, Shalimar Bagh",noida,DPT-0034,true
DEP0035,Endocrinology,"Max Super Speciality Hospital, Gurgaon",ghaziabad,DPT-0035,true
DEP0036,Internal Medicine,"Max Hospital, Noida",gurugram,DPT-0036,true
DEP0037,Neurology,"Max Hospital, Lucknow",lucknow,DPT-0037,true
DEP0038,Neurosurgery,"Max Healthcare Partner Centre, Pune",pune,DPT-0038,true
DEP0039,Urology,"Max Healthcare Partner Centre, Mumbai",Mumbai,DPT-0039,true
DEP0040,Nephrology,"Max Healthcare Partner Centre, Banguluru",Banguluru,DPT-0040,true
DEP0041,Gastroenterology,"Max Super Speciality Hospital, Saket",delhi,DPT-0041,true
DEP0042,GI Surgery,"Max Super Speciality Hospital, Patparganj",noida,DPT-0042,true
DEP0043,Cardiology,"Max Super Speciality Hospital, Vaishali",ghaziabad,DPT-0043,true
DEP0044,Cardiothoracic Surgery,"Max Super Speciality Hospital, Shalimar Bagh",gurugram,DPT-0044,true
DEP0045,Orthopaedics,"Max Super Speciality Hospital, Gurgaon",lucknow,DPT-0045,true
DEP0046,Oncology,"Max Hospital, Noida",pune,DPT-0046,true
DEP0047,Dental Sciences,"Max Hospital, Lucknow",Mumbai,DPT-0047,true
DEP0048,ENT,"Max Healthcare Partner Centre, Pune",Banguluru,DPT-0048,true
DEP0049,Pulmonology,"Max Healthcare Partner Centre, Mumbai",delhi,DPT-0049,true
DEP0050,Dermatology,"Max Healthcare Partner Centre, Banguluru",noida,DPT-0050,true
DEP0051,Obstetrics and Gynaecology,"Max Super Speciality Hospital, Saket",ghaziabad,DPT-0051,true
DEP0052,Pediatrics,"Max Super Speciality Hospital, Patparganj",gurugram,DPT-0052,true
DEP0053,Endocrinology,"Max Super Speciality Hospital, Vaishali",lucknow,DPT-0053,true
DEP0054,Internal Medicine,"Max Super Speciality Hospital, Shalimar Bagh",pune,DPT-0054,true
DEP0055,Neurology,"Max Super Speciality Hospital, Gurgaon",Mumbai,DPT-0055,true
DEP0056,Neurosurgery,"Max Hospital, Noida",Banguluru,DPT-0056,true
DEP0057,Urology,"Max Hospital, Lucknow",delhi,DPT-0057,true
DEP0058,Nephrology,"Max Healthcare Partner Centre, Pune",noida,DPT-0058,true
DEP0059,Gastroenterology,"Max Healthcare Partner Centre, Mumbai",ghaziabad,DPT-0059,true
DEP0060,GI Surgery,"Max Healthcare Partner Centre, Banguluru",gurugram,DPT-0060,true
DEP0061,Cardiology,"Max Super Speciality Hospital, Saket",lucknow,DPT-0061,true
DEP0062,Cardiothoracic Surgery,"Max Super Speciality Hospital, Patparganj",pune,DPT-0062,true
DEP0063,Orthopaedics,"Max Super Speciality Hospital, Vaishali",Mumbai,DPT-0063,true
DEP0064,Oncology,"Max Super Speciality Hospital, Shalimar Bagh",Banguluru,DPT-0064,true
DEP0065,Dental Sciences,"Max Super Speciality Hospital, Gurgaon",delhi,DPT-0065,true
DEP0066,ENT,"Max Hospital, Noida",noida,DPT-0066,true
DEP0067,Pulmonology,"Max Hospital, Lucknow",ghaziabad,DPT-0067,true
DEP0068,Dermatology,"Max Healthcare Partner Centre, Pune",gurugram,DPT-0068,true
DEP0069,Obstetrics and Gynaecology,"Max Healthcare Partner Centre, Mumbai",lucknow,DPT-0069,true
