location_id,hospital_name,branch_code,city,state,pincode,timezone
LOC0001,"Max Super Speciality Hospital, Saket",MAX-0001,delhi,DL,110001,Asia/Kolkata
LOC0002,"Max Super Speciality Hospital, Patparganj",MAX-0002,noida,UP,201302,Asia/Kolkata
LOC0003,"Max Super Speciality Hospital, Vaishali",MAX-0003,ghaziabad,UP,201003,Asia/Kolkata
LOC0004,"Max Super Speciality Hospital, Shalimar Bagh",MAX-0004,gurugram,HR,122004,Asia/Kolkata
LOC0005,"Max Super Speciality Hospital, Gurgaon",MAX-0005,lucknow,UP,226005,Asia/Kolkata
LOC0006,"Max Hospital, Noida",MAX-0006,pune,MH,411006,Asia/Kolkata
LOC0007,"Max Hospital, Lucknow",MAX-0007,Mumbai,MH,400007,Asia/Kolkata
LOC0008,"Max Healthcare Partner Centre, Pune",MAX-0008,Banguluru,KA,560008,Asia/Kolkata
LOC0009,"Max Healthcare Partner Centre, Mumbai",MAX-0009,delhi,DL,110009,Asia/Kolkata
LOC0010,"Max Healthcare Partner Centre, Banguluru",MAX-0010,noida,UP,201310,Asia/Kolkata
LOC0011,"Max Super Speciality Hospital, Saket",MAX-0011,ghaziabad,UP,201011,Asia/Kolkata
LOC0012,"Max Super Speciality Hospital, Patparganj",MAX-0012,gurugram,HR,122012,Asia/Kolkata
LOC0013,"Max Super Speciality Hospital, Vaishali",MAX-0013,lucknow,UP,226013,Asia/Kolkata
LOC0014,"Max Super Speciality Hospital, Shalimar Bagh",MAX-0014,pune,MH,411014,Asia/Kolkata
LOC0015,"Max Super Speciality Hospital, Gurgaon",MAX-0015,Mumbai,MH,400015,Asia/Kolkata
LOC0016,"Max Hospital, Noida",MAX-0016,Banguluru,KA,560016,Asia/Kolkata
LOC0017,"Max Hospital, Lucknow",MAX-0017,delhi,DL,110017,Asia/Kolkata
LOC0018,"Max Healthcare Partner Centre, Pune",MAX-0018,noida,UP,201318,Asia/Kolkata
LOC0019,"Max Healthcare Partner Centre, Mumbai",MAX-0019,ghaziabad,UP,201019,Asia/Kolkata
LOC0020,"Max Healthcare Partner Centre, Banguluru",MAX-0020,gurugram,HR,122020,Asia/Kolkata
LOC0021,"Max Super Speciality Hospital, Saket",MAX-0021,lucknow,UP,226021,Asia/Kolkata
LOC0022,"Max Super Speciality Hospital, Patparganj",MAX-0022,pune,MH,411022,Asia/Kolkata
LOC0023,"Max Super Speciality Hospital, Vaishali",MAX-0023,Mumbai,MH,400023,Asia/Kolkata
LOC0024,"Max Super Speciality Hospital, Shalimar Bagh",MAX-0024,Banguluru,KA,560024,Asia/Kolkata
LOC0025,"Max Super Speciality Hospital, Gurgaon",MAX-0025,delhi,DL,110025,Asia/Kolkata
LOC0026,"Max Hospital, Noida",MAX-0026,noida,UP,201326,Asia/Kolkata
LOC0027,"Max Hospital, Lucknow",MAX-0027,ghaziabad,UP,201027,Asia/Kolkata
LOC0028,"Max Healthcare Partner Centre, Pune",MAX-0028,gurugram,HR,122028,Asia/Kolkata
LOC0029,"Max Healthcare Partner Centre, Mumbai",MAX-0029,lucknow,UP,226029,Asia/Kolkata
LOC0030,"Max Healthcare Partner Centre, Banguluru",MAX-0030,pune,MH,411030,Asia/Kolkata
LOC0031,"Max Super Speciality Hospital, Saket",MAX-0031,Mumbai,MH,400031,Asia/Kolkata
LOC0032,"Max Super Speciality Hospital, Patparganj",MAX-0032,Banguluru,KA,560032,Asia/Kolkata
LOC0033,"Max Super Speciality Hospital, Vaishali",MAX-0033,delhi,DL,110033,Asia/Kolkata
LOC0034,"Max Super Speciality Hospital, Shalimar Bagh",MAX-0034,noida,UP,201334,Asia/Kolkata
LOC0035,"Max Super Speciality Hospital, Gurgaon",MAX-0035,ghaziabad,UP,201035,Asia/Kolkata
LOC0036,"Max Hospital, Noida",MAX-0036,gurugram,HR,122036,Asia/Kolkata
LOC0037,"Max Hospital, Lucknow",MAX-0037,lucknow,UP,226037,Asia/Kolkata
LOC0038,"Max Healthcare Partner Centre, Pune",MAX-0038,pune,MH,411038,Asia/Kolkata
LOC0039,"Max Healthcare Partner Centre, Mumbai",MAX-0039,Mumbai,MH,400039,Asia/Kolkata
LOC0040,"Max Healthcare Partner Centre, Banguluru",MAX-0040,Banguluru,KA,560040,Asia/Kolkata
LOC0041,"Max Super Speciality Hospital, Saket",MAX-0041,delhi,DL,110041,Asia/Kolkata
LOC0042,"Max Super Speciality Hospital, Patparganj",MAX-0042,noida,UP,201342,Asia/Kolkata
LOC0043,"Max Super Speciality Hospital, Vaishali",MAX-0043,ghaziabad,UP,201043,Asia/Kolkata
LOC0044,"Max Super Speciality Hospital, Shalimar Bagh",MAX-0044,gurugram,HR,122044,Asia/Kolkata
LOC0045,"Max Super Speciality Hospital, Gurgaon",MAX-0045,lucknow,UP,226045,Asia/Kolkata
LOC0046,"Max Hospital, Noida",MAX-0046,pune,MH,411046,Asia/Kolkata
LOC0047,"Max Hospital, Lucknow",MAX-0047,Mumbai,MH,400047,Asia/Kolkata
LOC0048,"Max Healthcare Partner Centre, Pune",MAX-0048,Banguluru,KA,560048,Asia/Kolkata
LOC0049,"Max Healthcare Partner Centre, Mumbai",MAX-0049,delhi,DL,110049,Asia/Kolkata
LOC0050,"Max Healthcare Partner Centre, Banguluru",MAX-0050,noida,UP,201350,Asia/Kolkata
